Result of the experiment

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.001
training epoch = 1000, dropout rate = 0.09999999999999998, reg_param = 0.1

During the 10-th epoch:
Training Accuracy = 0.880946
Validation Accuracy = 0.886497
Testing Accuracy = 0.879507

During the 20-th epoch:
Training Accuracy = 0.881496
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

During the 50-th epoch:
Training Accuracy = 0.901567
Validation Accuracy = 0.864971
Testing Accuracy = 0.847249

During the 100-th epoch:
Training Accuracy = 0.94171
Validation Accuracy = 0.861057
Testing Accuracy = 0.851044

During the 200-th epoch:
Training Accuracy = 0.981303
Validation Accuracy = 0.827789
Testing Accuracy = 0.818786

During the 300-th epoch:
Training Accuracy = 0.976904
Validation Accuracy = 0.851272
Testing Accuracy = 0.837761

During the 500-th epoch:
Training Accuracy = 0.993951
Validation Accuracy = 0.774951
Testing Accuracy = 0.79222

During the 700-th epoch:
Training Accuracy = 0.998075
Validation Accuracy = 0.827789
Testing Accuracy = 0.827324

During the 1000-th epoch:
Training Accuracy = 0.998075
Validation Accuracy = 0.821918
Testing Accuracy = 0.822581

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.001
training epoch = 1000, dropout rate = 0.09999999999999998, reg_param = 0.01

During the 10-th epoch:
Training Accuracy = 0.880946
Validation Accuracy = 0.886497
Testing Accuracy = 0.880455

During the 20-th epoch:
Training Accuracy = 0.881221
Validation Accuracy = 0.886497
Testing Accuracy = 0.880455

During the 50-th epoch:
Training Accuracy = 0.905692
Validation Accuracy = 0.8591
Testing Accuracy = 0.847249

During the 100-th epoch:
Training Accuracy = 0.938961
Validation Accuracy = 0.835616
Testing Accuracy = 0.839658

During the 200-th epoch:
Training Accuracy = 0.96893
Validation Accuracy = 0.790607
Testing Accuracy = 0.816888

During the 300-th epoch:
Training Accuracy = 0.993951
Validation Accuracy = 0.827789
Testing Accuracy = 0.834915

During the 500-th epoch:
Training Accuracy = 0.99835
Validation Accuracy = 0.835616
Testing Accuracy = 0.83112

During the 700-th epoch:
Training Accuracy = 0.99835
Validation Accuracy = 0.833659
Testing Accuracy = 0.839658

During the 1000-th epoch:
Training Accuracy = 0.998075
Validation Accuracy = 0.829746
Testing Accuracy = 0.839658

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.001
training epoch = 1000, dropout rate = 0.09999999999999998, reg_param = 0.001

During the 10-th epoch:
Training Accuracy = 0.880671
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

During the 20-th epoch:
Training Accuracy = 0.880946
Validation Accuracy = 0.886497
Testing Accuracy = 0.880455

During the 50-th epoch:
Training Accuracy = 0.901567
Validation Accuracy = 0.870842
Testing Accuracy = 0.86907

During the 100-th epoch:
Training Accuracy = 0.94501
Validation Accuracy = 0.829746
Testing Accuracy = 0.833017

During the 200-th epoch:
Training Accuracy = 0.970855
Validation Accuracy = 0.790607
Testing Accuracy = 0.809298

During the 300-th epoch:
Training Accuracy = 0.970855
Validation Accuracy = 0.761252
Testing Accuracy = 0.791271

During the 500-th epoch:
Training Accuracy = 0.996701
Validation Accuracy = 0.800391
Testing Accuracy = 0.796015

During the 700-th epoch:
Training Accuracy = 0.99835
Validation Accuracy = 0.816047
Testing Accuracy = 0.827324

During the 1000-th epoch:
Training Accuracy = 0.99835
Validation Accuracy = 0.808219
Testing Accuracy = 0.818786

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.001
training epoch = 1000, dropout rate = 0.30000000000000004, reg_param = 0.1

During the 10-th epoch:
Training Accuracy = 0.880946
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

During the 20-th epoch:
Training Accuracy = 0.880946
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

During the 50-th epoch:
Training Accuracy = 0.902392
Validation Accuracy = 0.872798
Testing Accuracy = 0.868121

During the 100-th epoch:
Training Accuracy = 0.925763
Validation Accuracy = 0.831703
Testing Accuracy = 0.824478

During the 200-th epoch:
Training Accuracy = 0.948309
Validation Accuracy = 0.853229
Testing Accuracy = 0.854839

During the 300-th epoch:
Training Accuracy = 0.990652
Validation Accuracy = 0.819961
Testing Accuracy = 0.833966

During the 500-th epoch:
Training Accuracy = 0.998625
Validation Accuracy = 0.827789
Testing Accuracy = 0.832068

During the 700-th epoch:
Training Accuracy = 0.99835
Validation Accuracy = 0.819961
Testing Accuracy = 0.814042

During the 1000-th epoch:
Training Accuracy = 0.998625
Validation Accuracy = 0.837573
Testing Accuracy = 0.83871

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.001
training epoch = 1000, dropout rate = 0.30000000000000004, reg_param = 0.01

During the 10-th epoch:
Training Accuracy = 0.880946
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

During the 20-th epoch:
Training Accuracy = 0.881221
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

During the 50-th epoch:
Training Accuracy = 0.900192
Validation Accuracy = 0.88454
Testing Accuracy = 0.865275

During the 100-th epoch:
Training Accuracy = 0.923013
Validation Accuracy = 0.810176
Testing Accuracy = 0.811195

During the 200-th epoch:
Training Accuracy = 0.983503
Validation Accuracy = 0.819961
Testing Accuracy = 0.83871

During the 300-th epoch:
Training Accuracy = 0.993126
Validation Accuracy = 0.827789
Testing Accuracy = 0.828273

During the 500-th epoch:
Training Accuracy = 0.9978
Validation Accuracy = 0.819961
Testing Accuracy = 0.812144

During the 700-th epoch:
Training Accuracy = 0.997525
Validation Accuracy = 0.821918
Testing Accuracy = 0.832068

During the 1000-th epoch:
Training Accuracy = 0.998075
Validation Accuracy = 0.833659
Testing Accuracy = 0.839658

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.001
training epoch = 1000, dropout rate = 0.30000000000000004, reg_param = 0.001

During the 10-th epoch:
Training Accuracy = 0.880946
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

During the 20-th epoch:
Training Accuracy = 0.880946
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

During the 50-th epoch:
Training Accuracy = 0.901292
Validation Accuracy = 0.864971
Testing Accuracy = 0.851992

During the 100-th epoch:
Training Accuracy = 0.94116
Validation Accuracy = 0.819961
Testing Accuracy = 0.801708

During the 200-th epoch:
Training Accuracy = 0.976354
Validation Accuracy = 0.835616
Testing Accuracy = 0.837761

During the 300-th epoch:
Training Accuracy = 0.986802
Validation Accuracy = 0.825832
Testing Accuracy = 0.821632

During the 500-th epoch:
Training Accuracy = 0.990927
Validation Accuracy = 0.845401
Testing Accuracy = 0.840607

During the 700-th epoch:
Training Accuracy = 0.99835
Validation Accuracy = 0.841487
Testing Accuracy = 0.821632

During the 1000-th epoch:
Training Accuracy = 0.99835
Validation Accuracy = 0.835616
Testing Accuracy = 0.829222

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.001
training epoch = 1000, dropout rate = 0.5, reg_param = 0.1

During the 10-th epoch:
Training Accuracy = 0.880946
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

During the 20-th epoch:
Training Accuracy = 0.880671
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

During the 50-th epoch:
Training Accuracy = 0.896893
Validation Accuracy = 0.88454
Testing Accuracy = 0.872865

During the 100-th epoch:
Training Accuracy = 0.904867
Validation Accuracy = 0.804305
Testing Accuracy = 0.802657

During the 200-th epoch:
Training Accuracy = 0.982678
Validation Accuracy = 0.835616
Testing Accuracy = 0.805503

During the 300-th epoch:
Training Accuracy = 0.984328
Validation Accuracy = 0.851272
Testing Accuracy = 0.83871

During the 500-th epoch:
Training Accuracy = 0.997525
Validation Accuracy = 0.857143
Testing Accuracy = 0.836812

During the 700-th epoch:
Training Accuracy = 0.994501
Validation Accuracy = 0.794521
Testing Accuracy = 0.783681

During the 1000-th epoch:
Training Accuracy = 0.9989
Validation Accuracy = 0.847358
Testing Accuracy = 0.827324

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.001
training epoch = 1000, dropout rate = 0.5, reg_param = 0.01

During the 10-th epoch:
Training Accuracy = 0.881221
Validation Accuracy = 0.886497
Testing Accuracy = 0.880455

During the 20-th epoch:
Training Accuracy = 0.882046
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

During the 50-th epoch:
Training Accuracy = 0.897443
Validation Accuracy = 0.878669
Testing Accuracy = 0.872865

During the 100-th epoch:
Training Accuracy = 0.917514
Validation Accuracy = 0.812133
Testing Accuracy = 0.805503

During the 200-th epoch:
Training Accuracy = 0.981303
Validation Accuracy = 0.83953
Testing Accuracy = 0.840607

During the 300-th epoch:
Training Accuracy = 0.995051
Validation Accuracy = 0.808219
Testing Accuracy = 0.823529

During the 500-th epoch:
Training Accuracy = 0.998625
Validation Accuracy = 0.804305
Testing Accuracy = 0.826376

During the 700-th epoch:
Training Accuracy = 0.998625
Validation Accuracy = 0.818004
Testing Accuracy = 0.83112

During the 1000-th epoch:
Training Accuracy = 0.998625
Validation Accuracy = 0.825832
Testing Accuracy = 0.83871

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.001
training epoch = 1000, dropout rate = 0.5, reg_param = 0.001

During the 10-th epoch:
Training Accuracy = 0.880946
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

During the 20-th epoch:
Training Accuracy = 0.881496
Validation Accuracy = 0.886497
Testing Accuracy = 0.880455

During the 50-th epoch:
Training Accuracy = 0.897718
Validation Accuracy = 0.851272
Testing Accuracy = 0.837761

During the 100-th epoch:
Training Accuracy = 0.914215
Validation Accuracy = 0.802348
Testing Accuracy = 0.798862

During the 200-th epoch:
Training Accuracy = 0.978004
Validation Accuracy = 0.81409
Testing Accuracy = 0.815939

During the 300-th epoch:
Training Accuracy = 0.974979
Validation Accuracy = 0.796477
Testing Accuracy = 0.77704

During the 500-th epoch:
Training Accuracy = 0.99835
Validation Accuracy = 0.808219
Testing Accuracy = 0.818786

During the 700-th epoch:
Training Accuracy = 0.998625
Validation Accuracy = 0.81409
Testing Accuracy = 0.819734

During the 1000-th epoch:
Training Accuracy = 0.99835
Validation Accuracy = 0.81409
Testing Accuracy = 0.826376

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.001
training epoch = 1000, dropout rate = 0.7, reg_param = 0.1

During the 10-th epoch:
Training Accuracy = 0.880946
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

During the 20-th epoch:
Training Accuracy = 0.881221
Validation Accuracy = 0.886497
