Result of the experiment

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.09999999999999998, reg_param = 0.1

During the 10-th epoch:
Training Accuracy = 0.880671
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

During the 20-th epoch:
Training Accuracy = 0.882596
Validation Accuracy = 0.88454
Testing Accuracy = 0.881404

During the 50-th epoch:
Training Accuracy = 0.896343
Validation Accuracy = 0.880626
Testing Accuracy = 0.868121

During the 100-th epoch:
Training Accuracy = 0.928238
Validation Accuracy = 0.831703
Testing Accuracy = 0.832068

During the 200-th epoch:
Training Accuracy = 0.956833
Validation Accuracy = 0.792564
Testing Accuracy = 0.819734

During the 300-th epoch:
Training Accuracy = 0.952433
Validation Accuracy = 0.751468
Testing Accuracy = 0.771347

During the 500-th epoch:
Training Accuracy = 0.99725
Validation Accuracy = 0.802348
Testing Accuracy = 0.818786

During the 700-th epoch:
Training Accuracy = 0.996976
Validation Accuracy = 0.812133
Testing Accuracy = 0.829222

During the 1000-th epoch:
Training Accuracy = 0.989827
Validation Accuracy = 0.772994
Testing Accuracy = 0.789374

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.09999999999999998, reg_param = 0.01

During the 10-th epoch:
Training Accuracy = 0.879571
Validation Accuracy = 0.886497
Testing Accuracy = 0.878558

During the 20-th epoch:
Training Accuracy = 0.882321
Validation Accuracy = 0.886497
Testing Accuracy = 0.879507

During the 50-th epoch:
Training Accuracy = 0.898268
Validation Accuracy = 0.886497
Testing Accuracy = 0.874763

During the 100-th epoch:
Training Accuracy = 0.922189
Validation Accuracy = 0.874755
Testing Accuracy = 0.863378

During the 200-th epoch:
Training Accuracy = 0.920264
Validation Accuracy = 0.870842
Testing Accuracy = 0.866224

During the 300-th epoch:
Training Accuracy = 0.985977
Validation Accuracy = 0.808219
Testing Accuracy = 0.810247

During the 500-th epoch:
Training Accuracy = 0.984053
Validation Accuracy = 0.821918
Testing Accuracy = 0.820683

During the 700-th epoch:
Training Accuracy = 0.996426
Validation Accuracy = 0.808219
Testing Accuracy = 0.811195

During the 1000-th epoch:
Training Accuracy = 0.99835
Validation Accuracy = 0.81409
Testing Accuracy = 0.820683

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.09999999999999998, reg_param = 0.001

During the 10-th epoch:
Training Accuracy = 0.880671
Validation Accuracy = 0.886497
Testing Accuracy = 0.879507

During the 20-th epoch:
Training Accuracy = 0.881496
Validation Accuracy = 0.88454
Testing Accuracy = 0.881404

During the 50-th epoch:
Training Accuracy = 0.901017
Validation Accuracy = 0.868885
Testing Accuracy = 0.855787

During the 100-th epoch:
Training Accuracy = 0.937036
Validation Accuracy = 0.833659
Testing Accuracy = 0.827324

During the 200-th epoch:
Training Accuracy = 0.967281
Validation Accuracy = 0.827789
Testing Accuracy = 0.833966

During the 300-th epoch:
Training Accuracy = 0.968106
Validation Accuracy = 0.851272
Testing Accuracy = 0.850095

During the 500-th epoch:
Training Accuracy = 0.928238
Validation Accuracy = 0.745597
Testing Accuracy = 0.733397

During the 700-th epoch:
Training Accuracy = 0.995326
Validation Accuracy = 0.833659
Testing Accuracy = 0.834915

During the 1000-th epoch:
Training Accuracy = 0.998075
Validation Accuracy = 0.816047
Testing Accuracy = 0.818786

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.19999999999999996, reg_param = 0.1

During the 10-th epoch:
Training Accuracy = 0.879571
Validation Accuracy = 0.88454
Testing Accuracy = 0.875712

During the 20-th epoch:
Training Accuracy = 0.883695
Validation Accuracy = 0.882583
Testing Accuracy = 0.881404

During the 50-th epoch:
Training Accuracy = 0.895243
Validation Accuracy = 0.870842
Testing Accuracy = 0.877609

During the 100-th epoch:
Training Accuracy = 0.932912
Validation Accuracy = 0.864971
Testing Accuracy = 0.848197

During the 200-th epoch:
Training Accuracy = 0.946109
Validation Accuracy = 0.810176
Testing Accuracy = 0.794118

During the 300-th epoch:
Training Accuracy = 0.985703
Validation Accuracy = 0.829746
Testing Accuracy = 0.824478

During the 500-th epoch:
Training Accuracy = 0.997525
Validation Accuracy = 0.823875
Testing Accuracy = 0.820683

During the 700-th epoch:
Training Accuracy = 0.976629
Validation Accuracy = 0.83953
Testing Accuracy = 0.843454

During the 1000-th epoch:
Training Accuracy = 0.998075
Validation Accuracy = 0.816047
Testing Accuracy = 0.814042

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.19999999999999996, reg_param = 0.01

During the 10-th epoch:
Training Accuracy = 0.880396
Validation Accuracy = 0.880626
Testing Accuracy = 0.879507

During the 20-th epoch:
Training Accuracy = 0.882321
Validation Accuracy = 0.880626
Testing Accuracy = 0.877609

During the 50-th epoch:
Training Accuracy = 0.900742
Validation Accuracy = 0.861057
Testing Accuracy = 0.854839

During the 100-th epoch:
Training Accuracy = 0.923838
Validation Accuracy = 0.800391
Testing Accuracy = 0.814991

During the 200-th epoch:
Training Accuracy = 0.956008
Validation Accuracy = 0.78865
Testing Accuracy = 0.783681

During the 300-th epoch:
Training Accuracy = 0.985977
Validation Accuracy = 0.816047
Testing Accuracy = 0.805503

During the 500-th epoch:
Training Accuracy = 0.993401
Validation Accuracy = 0.835616
Testing Accuracy = 0.827324

During the 700-th epoch:
Training Accuracy = 0.998075
Validation Accuracy = 0.816047
Testing Accuracy = 0.803605

During the 1000-th epoch:
Training Accuracy = 0.998625
Validation Accuracy = 0.812133
Testing Accuracy = 0.797913

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.19999999999999996, reg_param = 0.001

During the 10-th epoch:
Training Accuracy = 0.878471
Validation Accuracy = 0.882583
Testing Accuracy = 0.882353

During the 20-th epoch:
Training Accuracy = 0.880671
Validation Accuracy = 0.88454
Testing Accuracy = 0.879507

During the 50-th epoch:
Training Accuracy = 0.899368
Validation Accuracy = 0.882583
Testing Accuracy = 0.865275

During the 100-th epoch:
Training Accuracy = 0.917789
Validation Accuracy = 0.831703
Testing Accuracy = 0.817837

During the 200-th epoch:
Training Accuracy = 0.94116
Validation Accuracy = 0.810176
Testing Accuracy = 0.800759

During the 300-th epoch:
Training Accuracy = 0.975804
Validation Accuracy = 0.851272
Testing Accuracy = 0.824478

During the 500-th epoch:
Training Accuracy = 0.996151
Validation Accuracy = 0.83953
Testing Accuracy = 0.818786

During the 700-th epoch:
Training Accuracy = 0.99725
Validation Accuracy = 0.841487
Testing Accuracy = 0.828273

During the 1000-th epoch:
Training Accuracy = 0.998625
Validation Accuracy = 0.829746
Testing Accuracy = 0.813093

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.30000000000000004, reg_param = 0.1

During the 10-th epoch:
Training Accuracy = 0.877646
Validation Accuracy = 0.88454
Testing Accuracy = 0.874763

During the 20-th epoch:
Training Accuracy = 0.882321
Validation Accuracy = 0.886497
Testing Accuracy = 0.87666

During the 50-th epoch:
Training Accuracy = 0.896343
Validation Accuracy = 0.874755
Testing Accuracy = 0.870968

During the 100-th epoch:
Training Accuracy = 0.937311
Validation Accuracy = 0.83953
Testing Accuracy = 0.844402

During the 200-th epoch:
Training Accuracy = 0.967556
Validation Accuracy = 0.808219
Testing Accuracy = 0.820683

During the 300-th epoch:
Training Accuracy = 0.966731
Validation Accuracy = 0.786693
Testing Accuracy = 0.796015

During the 500-th epoch:
Training Accuracy = 0.952433
Validation Accuracy = 0.761252
Testing Accuracy = 0.782732

During the 700-th epoch:
Training Accuracy = 0.998075
Validation Accuracy = 0.818004
Testing Accuracy = 0.813093

During the 1000-th epoch:
Training Accuracy = 0.99835
Validation Accuracy = 0.837573
Testing Accuracy = 0.83112

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.30000000000000004, reg_param = 0.01

During the 10-th epoch:
Training Accuracy = 0.879571
Validation Accuracy = 0.882583
Testing Accuracy = 0.877609

During the 20-th epoch:
Training Accuracy = 0.882046
Validation Accuracy = 0.878669
Testing Accuracy = 0.877609

During the 50-th epoch:
Training Accuracy = 0.897993
Validation Accuracy = 0.868885
Testing Accuracy = 0.856736

During the 100-th epoch:
Training Accuracy = 0.918339
Validation Accuracy = 0.812133
Testing Accuracy = 0.804554

During the 200-th epoch:
Training Accuracy = 0.950234
Validation Accuracy = 0.792564
Testing Accuracy = 0.77704

During the 300-th epoch:
Training Accuracy = 0.970855
Validation Accuracy = 0.816047
Testing Accuracy = 0.816888

During the 500-th epoch:
Training Accuracy = 0.985703
Validation Accuracy = 0.812133
Testing Accuracy = 0.8074

During the 700-th epoch:
Training Accuracy = 0.9989
Validation Accuracy = 0.835616
Testing Accuracy = 0.826376

During the 1000-th epoch:
Training Accuracy = 0.998625
Validation Accuracy = 0.800391
Testing Accuracy = 0.819734

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.30000000000000004, reg_param = 0.001

During the 10-th epoch:
Training Accuracy = 0.880671
Validation Accuracy = 0.886497
Testing Accuracy = 0.877609

During the 20-th epoch:
Training Accuracy = 0.881221
Validation Accuracy = 0.886497
Testing Accuracy = 0.874763

During the 50-th epoch:
Training Accuracy = 0.901842
Validation Accuracy = 0.874755
Testing Accuracy = 0.865275

During the 100-th epoch:
Training Accuracy = 0.918889
Validation Accuracy = 0.833659
Testing Accuracy = 0.818786

During the 200-th epoch:
Training Accuracy = 0.926038
Validation Accuracy = 0.735812
Testing Accuracy = 0.76945

During the 300-th epoch:
Training Accuracy = 0.980753
Validation Accuracy = 0.81409
Testing Accuracy = 0.83112

During the 500-th epoch:
Training Accuracy = 0.979654
Validation Accuracy = 0.831703
Testing Accuracy = 0.821632

During the 700-th epoch:
Training Accuracy = 0.996701
Validation Accuracy = 0.831703
Testing Accuracy = 0.830171

During the 1000-th epoch:
Training Accuracy = 0.9978
Validation Accuracy = 0.825832
Testing Accuracy = 0.827324

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.4, reg_param = 0.1

During the 10-th epoch:
Training Accuracy = 0.879296
Validation Accuracy = 0.886497
Testing Accuracy = 0.880455

During the 20-th epoch:
