Result of the experiment

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.09999999999999998, reg_param = 0.1

During the 10-th epoch:
Training Accuracy = 0.855925
Validation Accuracy = 0.849315
Testing Accuracy = 0.85389

During the 20-th epoch:
Training Accuracy = 0.876547
Validation Accuracy = 0.878669
Testing Accuracy = 0.874763

During the 50-th epoch:
Training Accuracy = 0.878196
Validation Accuracy = 0.88454
Testing Accuracy = 0.879507

During the 100-th epoch:
Training Accuracy = 0.879846
Validation Accuracy = 0.88454
Testing Accuracy = 0.879507

During the 200-th epoch:
Training Accuracy = 0.879846
Validation Accuracy = 0.88454
Testing Accuracy = 0.879507

During the 300-th epoch:
Training Accuracy = 0.880671
Validation Accuracy = 0.88454
Testing Accuracy = 0.880455

During the 500-th epoch:
Training Accuracy = 0.880946
Validation Accuracy = 0.88454
Testing Accuracy = 0.880455

During the 700-th epoch:
Training Accuracy = 0.880946
Validation Accuracy = 0.88454
Testing Accuracy = 0.880455

During the 1000-th epoch:
Training Accuracy = 0.881221
Validation Accuracy = 0.88454
Testing Accuracy = 0.880455

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.09999999999999998, reg_param = 0.01

During the 10-th epoch:
Training Accuracy = 0.396481
Validation Accuracy = 0.428571
Testing Accuracy = 0.402277

During the 20-th epoch:
Training Accuracy = 0.681056
Validation Accuracy = 0.694716
Testing Accuracy = 0.688805

During the 50-th epoch:
Training Accuracy = 0.85565
Validation Accuracy = 0.863014
Testing Accuracy = 0.856736

During the 100-th epoch:
Training Accuracy = 0.869948
Validation Accuracy = 0.874755
Testing Accuracy = 0.874763

During the 200-th epoch:
Training Accuracy = 0.876547
Validation Accuracy = 0.88454
Testing Accuracy = 0.879507

During the 300-th epoch:
Training Accuracy = 0.879296
Validation Accuracy = 0.882583
Testing Accuracy = 0.880455

During the 500-th epoch:
Training Accuracy = 0.880946
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

During the 700-th epoch:
Training Accuracy = 0.880946
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

During the 1000-th epoch:
Training Accuracy = 0.880946
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.09999999999999998, reg_param = 0.001

During the 10-th epoch:
Training Accuracy = 0.855375
Validation Accuracy = 0.863014
Testing Accuracy = 0.845351

During the 20-th epoch:
Training Accuracy = 0.85565
Validation Accuracy = 0.863014
Testing Accuracy = 0.847249

During the 50-th epoch:
Training Accuracy = 0.861699
Validation Accuracy = 0.870842
Testing Accuracy = 0.85389

During the 100-th epoch:
Training Accuracy = 0.862799
Validation Accuracy = 0.870842
Testing Accuracy = 0.854839

During the 200-th epoch:
Training Accuracy = 0.874622
Validation Accuracy = 0.88454
Testing Accuracy = 0.874763

During the 300-th epoch:
Training Accuracy = 0.880671
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

During the 500-th epoch:
Training Accuracy = 0.881221
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

During the 700-th epoch:
Training Accuracy = 0.881221
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

During the 1000-th epoch:
Training Accuracy = 0.880396
Validation Accuracy = 0.886497
Testing Accuracy = 0.879507

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.19999999999999996, reg_param = 0.1

During the 10-th epoch:
Training Accuracy = 0.776739
Validation Accuracy = 0.778865
Testing Accuracy = 0.806452

During the 20-th epoch:
Training Accuracy = 0.841078
Validation Accuracy = 0.843444
Testing Accuracy = 0.851992

During the 50-th epoch:
Training Accuracy = 0.873247
Validation Accuracy = 0.878669
Testing Accuracy = 0.873814

During the 100-th epoch:
Training Accuracy = 0.879571
Validation Accuracy = 0.88454
Testing Accuracy = 0.878558

During the 200-th epoch:
Training Accuracy = 0.879846
Validation Accuracy = 0.88454
Testing Accuracy = 0.878558

During the 300-th epoch:
Training Accuracy = 0.880946
Validation Accuracy = 0.88454
Testing Accuracy = 0.880455

During the 500-th epoch:
Training Accuracy = 0.880946
Validation Accuracy = 0.88454
Testing Accuracy = 0.880455

During the 700-th epoch:
Training Accuracy = 0.880946
Validation Accuracy = 0.88454
Testing Accuracy = 0.881404

During the 1000-th epoch:
Training Accuracy = 0.880946
Validation Accuracy = 0.88454
Testing Accuracy = 0.881404

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.19999999999999996, reg_param = 0.01

During the 10-th epoch:
Training Accuracy = 0.811108
Validation Accuracy = 0.829746
Testing Accuracy = 0.834915

During the 20-th epoch:
Training Accuracy = 0.849601
Validation Accuracy = 0.851272
Testing Accuracy = 0.859583

During the 50-th epoch:
Training Accuracy = 0.865274
Validation Accuracy = 0.866928
Testing Accuracy = 0.870019

During the 100-th epoch:
Training Accuracy = 0.871597
Validation Accuracy = 0.870842
Testing Accuracy = 0.87666

During the 200-th epoch:
Training Accuracy = 0.878196
Validation Accuracy = 0.880626
Testing Accuracy = 0.880455

During the 300-th epoch:
Training Accuracy = 0.879846
Validation Accuracy = 0.882583
Testing Accuracy = 0.881404

During the 500-th epoch:
Training Accuracy = 0.880396
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

During the 700-th epoch:
Training Accuracy = 0.880671
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

During the 1000-th epoch:
Training Accuracy = 0.880946
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.19999999999999996, reg_param = 0.001

During the 10-th epoch:
Training Accuracy = 0.877371
Validation Accuracy = 0.882583
Testing Accuracy = 0.875712

During the 20-th epoch:
Training Accuracy = 0.879571
Validation Accuracy = 0.88454
Testing Accuracy = 0.878558

During the 50-th epoch:
Training Accuracy = 0.880121
Validation Accuracy = 0.88454
Testing Accuracy = 0.878558

During the 100-th epoch:
Training Accuracy = 0.880671
Validation Accuracy = 0.886497
Testing Accuracy = 0.879507

During the 200-th epoch:
Training Accuracy = 0.880946
Validation Accuracy = 0.886497
Testing Accuracy = 0.879507

During the 300-th epoch:
Training Accuracy = 0.880946
Validation Accuracy = 0.886497
Testing Accuracy = 0.879507

During the 500-th epoch:
Training Accuracy = 0.880946
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

During the 700-th epoch:
Training Accuracy = 0.880946
Validation Accuracy = 0.886497
Testing Accuracy = 0.880455

During the 1000-th epoch:
Training Accuracy = 0.881221
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.30000000000000004, reg_param = 0.1

During the 10-th epoch:
Training Accuracy = 0.63129
Validation Accuracy = 0.598826
Testing Accuracy = 0.624288

During the 20-th epoch:
Training Accuracy = 0.751169
Validation Accuracy = 0.765166
Testing Accuracy = 0.734345

During the 50-th epoch:
Training Accuracy = 0.772615
Validation Accuracy = 0.790607
Testing Accuracy = 0.754269

During the 100-th epoch:
Training Accuracy = 0.868023
Validation Accuracy = 0.872798
Testing Accuracy = 0.868121

During the 200-th epoch:
Training Accuracy = 0.873797
Validation Accuracy = 0.878669
Testing Accuracy = 0.873814

During the 300-th epoch:
Training Accuracy = 0.877097
Validation Accuracy = 0.88454
Testing Accuracy = 0.878558

During the 500-th epoch:
Training Accuracy = 0.878196
Validation Accuracy = 0.88454
Testing Accuracy = 0.878558

During the 700-th epoch:
Training Accuracy = 0.879021
Validation Accuracy = 0.88454
Testing Accuracy = 0.878558

During the 1000-th epoch:
Training Accuracy = 0.880946
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.30000000000000004, reg_param = 0.01

During the 10-th epoch:
Training Accuracy = 0.880946
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

During the 20-th epoch:
Training Accuracy = 0.880946
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

During the 50-th epoch:
Training Accuracy = 0.880946
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

During the 100-th epoch:
Training Accuracy = 0.880946
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

During the 200-th epoch:
Training Accuracy = 0.880946
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

During the 300-th epoch:
Training Accuracy = 0.880946
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

During the 500-th epoch:
Training Accuracy = 0.880946
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

During the 700-th epoch:
Training Accuracy = 0.880946
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

During the 1000-th epoch:
Training Accuracy = 0.880946
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.30000000000000004, reg_param = 0.001

During the 10-th epoch:
Training Accuracy = 0.213088
Validation Accuracy = 0.197652
Testing Accuracy = 0.234345

During the 20-th epoch:
Training Accuracy = 0.215287
Validation Accuracy = 0.197652
Testing Accuracy = 0.236243

During the 50-th epoch:
Training Accuracy = 0.215562
Validation Accuracy = 0.197652
Testing Accuracy = 0.240038

During the 100-th epoch:
Training Accuracy = 0.217762
Validation Accuracy = 0.201566
Testing Accuracy = 0.242884

During the 200-th epoch:
Training Accuracy = 0.875172
Validation Accuracy = 0.882583
Testing Accuracy = 0.877609

During the 300-th epoch:
Training Accuracy = 0.877371
Validation Accuracy = 0.886497
Testing Accuracy = 0.879507

During the 500-th epoch:
Training Accuracy = 0.880121
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

During the 700-th epoch:
Training Accuracy = 0.880121
Validation Accuracy = 0.886497
Testing Accuracy = 0.880455

During the 1000-th epoch:
Training Accuracy = 0.880396
Validation Accuracy = 0.886497
Testing Accuracy = 0.880455

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.4, reg_param = 0.1

During the 10-th epoch:
Training Accuracy = 0.576024
Validation Accuracy = 0.60274
Testing Accuracy = 0.551233

During the 20-th epoch:
