Result of the experiment

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.09999999999999998, reg_param = 0.1

During the 10-th epoch:
Training Accuracy = 0.819357
Validation Accuracy = 0.761252
Testing Accuracy = 0.785579

During the 20-th epoch:
Training Accuracy = 0.879571
Validation Accuracy = 0.851272
Testing Accuracy = 0.847249

During the 50-th epoch:
Training Accuracy = 0.839978
Validation Accuracy = 0.722113
Testing Accuracy = 0.754269

During the 100-th epoch:
Training Accuracy = 0.877646
Validation Accuracy = 0.739726
Testing Accuracy = 0.753321

During the 200-th epoch:
Training Accuracy = 0.924938
Validation Accuracy = 0.808219
Testing Accuracy = 0.800759

During the 300-th epoch:
Training Accuracy = 0.951333
Validation Accuracy = 0.825832
Testing Accuracy = 0.81499

During the 500-th epoch:
Training Accuracy = 0.954908
Validation Accuracy = 0.790607
Testing Accuracy = 0.781784

During the 700-th epoch:
Training Accuracy = 0.966456
Validation Accuracy = 0.792564
Testing Accuracy = 0.790323

During the 1000-th epoch:
Training Accuracy = 0.941985
Validation Accuracy = 0.861057
Testing Accuracy = 0.859582

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.09999999999999998, reg_param = 0.01

During the 10-th epoch:
Training Accuracy = 0.794611
Validation Accuracy = 0.776908
Testing Accuracy = 0.780835

During the 20-th epoch:
Training Accuracy = 0.807809
Validation Accuracy = 0.76908
Testing Accuracy = 0.777989

During the 50-th epoch:
Training Accuracy = 0.855925
Validation Accuracy = 0.792564
Testing Accuracy = 0.796964

During the 100-th epoch:
Training Accuracy = 0.899368
Validation Accuracy = 0.776908
Testing Accuracy = 0.788425

During the 200-th epoch:
Training Accuracy = 0.93951
Validation Accuracy = 0.800391
Testing Accuracy = 0.798861

During the 300-th epoch:
Training Accuracy = 0.930437
Validation Accuracy = 0.798434
Testing Accuracy = 0.804554

During the 500-th epoch:
Training Accuracy = 0.963981
Validation Accuracy = 0.843444
Testing Accuracy = 0.825427

During the 700-th epoch:
Training Accuracy = 0.898818
Validation Accuracy = 0.759296
Testing Accuracy = 0.774194

During the 1000-th epoch:
Training Accuracy = 0.941985
Validation Accuracy = 0.866928
Testing Accuracy = 0.852941

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.09999999999999998, reg_param = 0.001

During the 10-th epoch:
Training Accuracy = 0.861149
Validation Accuracy = 0.843444
Testing Accuracy = 0.83871

During the 20-th epoch:
Training Accuracy = 0.82953
Validation Accuracy = 0.792564
Testing Accuracy = 0.770398

During the 50-th epoch:
Training Accuracy = 0.893319
Validation Accuracy = 0.843444
Testing Accuracy = 0.834915

During the 100-th epoch:
Training Accuracy = 0.91174
Validation Accuracy = 0.816047
Testing Accuracy = 0.827324

During the 200-th epoch:
Training Accuracy = 0.91339
Validation Accuracy = 0.767123
Testing Accuracy = 0.759962

During the 300-th epoch:
Training Accuracy = 0.945009
Validation Accuracy = 0.819961
Testing Accuracy = 0.818786

During the 500-th epoch:
Training Accuracy = 0.860324
Validation Accuracy = 0.708415
Testing Accuracy = 0.722011

During the 700-th epoch:
Training Accuracy = 0.940885
Validation Accuracy = 0.861057
Testing Accuracy = 0.848197

During the 1000-th epoch:
Training Accuracy = 0.951058
Validation Accuracy = 0.857143
Testing Accuracy = 0.848197

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.19999999999999996, reg_param = 0.1

During the 10-th epoch:
Training Accuracy = 0.836953
Validation Accuracy = 0.823875
Testing Accuracy = 0.824478

During the 20-th epoch:
Training Accuracy = 0.868298
Validation Accuracy = 0.83953
Testing Accuracy = 0.845351

During the 50-th epoch:
Training Accuracy = 0.718449
Validation Accuracy = 0.634051
Testing Accuracy = 0.683112

During the 100-th epoch:
Training Accuracy = 0.841903
Validation Accuracy = 0.704501
Testing Accuracy = 0.747628

During the 200-th epoch:
Training Accuracy = 0.934011
Validation Accuracy = 0.794521
Testing Accuracy = 0.811195

During the 300-th epoch:
Training Accuracy = 0.847677
Validation Accuracy = 0.774951
Testing Accuracy = 0.762808

During the 500-th epoch:
Training Accuracy = 0.945834
Validation Accuracy = 0.804305
Testing Accuracy = 0.797913

During the 700-th epoch:
Training Accuracy = 0.899368
Validation Accuracy = 0.886497
Testing Accuracy = 0.870968

During the 1000-th epoch:
Training Accuracy = 0.94446
Validation Accuracy = 0.849315
Testing Accuracy = 0.848197

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.19999999999999996, reg_param = 0.01

During the 10-th epoch:
Training Accuracy = 0.807259
Validation Accuracy = 0.78865
Testing Accuracy = 0.811195

During the 20-th epoch:
Training Accuracy = 0.797085
Validation Accuracy = 0.761252
Testing Accuracy = 0.767552

During the 50-th epoch:
Training Accuracy = 0.766016
Validation Accuracy = 0.712329
Testing Accuracy = 0.731499

During the 100-th epoch:
Training Accuracy = 0.891669
Validation Accuracy = 0.81409
Testing Accuracy = 0.826376

During the 200-th epoch:
Training Accuracy = 0.838878
Validation Accuracy = 0.706458
Testing Accuracy = 0.725806

During the 300-th epoch:
Training Accuracy = 0.889469
Validation Accuracy = 0.737769
Testing Accuracy = 0.778937

During the 500-th epoch:
Training Accuracy = 0.926038
Validation Accuracy = 0.790607
Testing Accuracy = 0.797913

During the 700-th epoch:
Training Accuracy = 0.926313
Validation Accuracy = 0.870842
Testing Accuracy = 0.864326

During the 1000-th epoch:
Training Accuracy = 0.929337
Validation Accuracy = 0.857143
Testing Accuracy = 0.862429

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.19999999999999996, reg_param = 0.001

During the 10-th epoch:
Training Accuracy = 0.848501
Validation Accuracy = 0.831703
Testing Accuracy = 0.83112

During the 20-th epoch:
Training Accuracy = 0.803684
Validation Accuracy = 0.767123
Testing Accuracy = 0.776091

During the 50-th epoch:
Training Accuracy = 0.824581
Validation Accuracy = 0.761252
Testing Accuracy = 0.759013

During the 100-th epoch:
Training Accuracy = 0.865548
Validation Accuracy = 0.806262
Testing Accuracy = 0.812144

During the 200-th epoch:
Training Accuracy = 0.940885
Validation Accuracy = 0.804305
Testing Accuracy = 0.81499

During the 300-th epoch:
Training Accuracy = 0.958482
Validation Accuracy = 0.843444
Testing Accuracy = 0.832068

During the 500-th epoch:
Training Accuracy = 0.963981
Validation Accuracy = 0.841487
Testing Accuracy = 0.834915

During the 700-th epoch:
Training Accuracy = 0.966456
Validation Accuracy = 0.819961
Testing Accuracy = 0.809298

During the 1000-th epoch:
Training Accuracy = 0.973605
Validation Accuracy = 0.765166
Testing Accuracy = 0.786528

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.30000000000000004, reg_param = 0.1

During the 10-th epoch:
Training Accuracy = 0.787187
Validation Accuracy = 0.76908
Testing Accuracy = 0.783681

During the 20-th epoch:
Training Accuracy = 0.77344
Validation Accuracy = 0.716243
Testing Accuracy = 0.735294

During the 50-th epoch:
Training Accuracy = 0.879571
Validation Accuracy = 0.806262
Testing Accuracy = 0.810247

During the 100-th epoch:
Training Accuracy = 0.895243
Validation Accuracy = 0.827789
Testing Accuracy = 0.841556

During the 200-th epoch:
Training Accuracy = 0.867198
Validation Accuracy = 0.696673
Testing Accuracy = 0.712524

During the 300-th epoch:
Training Accuracy = 0.917239
Validation Accuracy = 0.831703
Testing Accuracy = 0.839658

During the 500-th epoch:
Training Accuracy = 0.899917
Validation Accuracy = 0.747554
Testing Accuracy = 0.758065

During the 700-th epoch:
Training Accuracy = 0.870498
Validation Accuracy = 0.747554
Testing Accuracy = 0.712524

During the 1000-th epoch:
Training Accuracy = 0.944185
Validation Accuracy = 0.83366
Testing Accuracy = 0.837761

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.30000000000000004, reg_param = 0.01

During the 10-th epoch:
Training Accuracy = 0.810008
Validation Accuracy = 0.771037
Testing Accuracy = 0.790322

During the 20-th epoch:
Training Accuracy = 0.869123
Validation Accuracy = 0.804305
Testing Accuracy = 0.820683

During the 50-th epoch:
Training Accuracy = 0.861699
Validation Accuracy = 0.804305
Testing Accuracy = 0.812144

During the 100-th epoch:
Training Accuracy = 0.886995
Validation Accuracy = 0.819961
Testing Accuracy = 0.804554

During the 200-th epoch:
Training Accuracy = 0.74237
Validation Accuracy = 0.608611
Testing Accuracy = 0.629981

During the 300-th epoch:
Training Accuracy = 0.834204
Validation Accuracy = 0.645793
Testing Accuracy = 0.690702

During the 500-th epoch:
Training Accuracy = 0.956283
Validation Accuracy = 0.78865
Testing Accuracy = 0.801708

During the 700-th epoch:
Training Accuracy = 0.793786
Validation Accuracy = 0.614481
Testing Accuracy = 0.667932

During the 1000-th epoch:
Training Accuracy = 0.947759
Validation Accuracy = 0.819961
Testing Accuracy = 0.8074

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.30000000000000004, reg_param = 0.001

During the 10-th epoch:
Training Accuracy = 0.82843
Validation Accuracy = 0.798434
Testing Accuracy = 0.793169

During the 20-th epoch:
Training Accuracy = 0.827605
Validation Accuracy = 0.780822
Testing Accuracy = 0.800759

During the 50-th epoch:
Training Accuracy = 0.852076
Validation Accuracy = 0.778865
Testing Accuracy = 0.783681

During the 100-th epoch:
Training Accuracy = 0.789112
Validation Accuracy = 0.65362
Testing Accuracy = 0.691651

During the 200-th epoch:
Training Accuracy = 0.874897
Validation Accuracy = 0.751468
Testing Accuracy = 0.76945

During the 300-th epoch:
Training Accuracy = 0.924388
Validation Accuracy = 0.76908
Testing Accuracy = 0.771347

During the 500-th epoch:
Training Accuracy = 0.923563
Validation Accuracy = 0.786693
Testing Accuracy = 0.786527

During the 700-th epoch:
Training Accuracy = 0.950234
Validation Accuracy = 0.776908
Testing Accuracy = 0.794118

During the 1000-th epoch:
Training Accuracy = 0.889194
Validation Accuracy = 0.688845
Testing Accuracy = 0.71537

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.4, reg_param = 0.1

During the 10-th epoch:
Training Accuracy = 0.756943
Validation Accuracy = 0.74364
Testing Accuracy = 0.753321

During the 20-th epoch:
