Result of the experiment

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.001
training epoch = 1000, dropout rate = 0.09999999999999998, reg_param = 0.1

During the 10-th epoch:
Training Accuracy = 0.880946
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

During the 20-th epoch:
Training Accuracy = 0.881221
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

During the 50-th epoch:
Training Accuracy = 0.895518
Validation Accuracy = 0.882583
Testing Accuracy = 0.870968

During the 100-th epoch:
Training Accuracy = 0.933187
Validation Accuracy = 0.849315
Testing Accuracy = 0.850095

During the 200-th epoch:
Training Accuracy = 0.979928
Validation Accuracy = 0.810176
Testing Accuracy = 0.827324

During the 300-th epoch:
Training Accuracy = 0.984878
Validation Accuracy = 0.780822
Testing Accuracy = 0.778937

During the 500-th epoch:
Training Accuracy = 0.99725
Validation Accuracy = 0.825832
Testing Accuracy = 0.832068

During the 700-th epoch:
Training Accuracy = 0.99835
Validation Accuracy = 0.804305
Testing Accuracy = 0.79981

During the 1000-th epoch:
Training Accuracy = 0.99835
Validation Accuracy = 0.81409
Testing Accuracy = 0.810247

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.001
training epoch = 1000, dropout rate = 0.09999999999999998, reg_param = 0.01

During the 10-th epoch:
Training Accuracy = 0.880946
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

During the 20-th epoch:
Training Accuracy = 0.881221
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

During the 50-th epoch:
Training Accuracy = 0.900192
Validation Accuracy = 0.878669
Testing Accuracy = 0.870968

During the 100-th epoch:
Training Accuracy = 0.938411
Validation Accuracy = 0.853229
Testing Accuracy = 0.85389

During the 200-th epoch:
Training Accuracy = 0.981578
Validation Accuracy = 0.818004
Testing Accuracy = 0.826376

During the 300-th epoch:
Training Accuracy = 0.982403
Validation Accuracy = 0.829746
Testing Accuracy = 0.847249

During the 500-th epoch:
Training Accuracy = 0.995326
Validation Accuracy = 0.790607
Testing Accuracy = 0.805503

During the 700-th epoch:
Training Accuracy = 0.998075
Validation Accuracy = 0.812133
Testing Accuracy = 0.814991

During the 1000-th epoch:
Training Accuracy = 0.998075
Validation Accuracy = 0.816047
Testing Accuracy = 0.826376

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.001
training epoch = 1000, dropout rate = 0.09999999999999998, reg_param = 0.001

During the 10-th epoch:
Training Accuracy = 0.880946
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

During the 20-th epoch:
Training Accuracy = 0.880946
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

During the 50-th epoch:
Training Accuracy = 0.902667
Validation Accuracy = 0.88454
Testing Accuracy = 0.87666

During the 100-th epoch:
Training Accuracy = 0.931262
Validation Accuracy = 0.808219
Testing Accuracy = 0.816888

During the 200-th epoch:
Training Accuracy = 0.985977
Validation Accuracy = 0.816047
Testing Accuracy = 0.814042

During the 300-th epoch:
Training Accuracy = 0.979653
Validation Accuracy = 0.81409
Testing Accuracy = 0.820683

During the 500-th epoch:
Training Accuracy = 0.99835
Validation Accuracy = 0.821918
Testing Accuracy = 0.828273

During the 700-th epoch:
Training Accuracy = 0.99835
Validation Accuracy = 0.833659
Testing Accuracy = 0.828273

During the 1000-th epoch:
Training Accuracy = 0.99835
Validation Accuracy = 0.829746
Testing Accuracy = 0.835863

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.001
training epoch = 1000, dropout rate = 0.30000000000000004, reg_param = 0.1

During the 10-th epoch:
Training Accuracy = 0.880946
Validation Accuracy = 0.88454
Testing Accuracy = 0.881404

During the 20-th epoch:
Training Accuracy = 0.881496
Validation Accuracy = 0.886497
Testing Accuracy = 0.880455

During the 50-th epoch:
Training Accuracy = 0.898543
Validation Accuracy = 0.872798
Testing Accuracy = 0.866224

During the 100-th epoch:
Training Accuracy = 0.929612
Validation Accuracy = 0.829746
Testing Accuracy = 0.822581

During the 200-th epoch:
Training Accuracy = 0.949959
Validation Accuracy = 0.837573
Testing Accuracy = 0.843453

During the 300-th epoch:
Training Accuracy = 0.984053
Validation Accuracy = 0.825832
Testing Accuracy = 0.835863

During the 500-th epoch:
Training Accuracy = 0.981853
Validation Accuracy = 0.771037
Testing Accuracy = 0.809298

During the 700-th epoch:
Training Accuracy = 0.99835
Validation Accuracy = 0.810176
Testing Accuracy = 0.819734

During the 1000-th epoch:
Training Accuracy = 0.99835
Validation Accuracy = 0.806262
Testing Accuracy = 0.821632

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.001
training epoch = 1000, dropout rate = 0.30000000000000004, reg_param = 0.01

During the 10-th epoch:
Training Accuracy = 0.880946
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

During the 20-th epoch:
Training Accuracy = 0.880946
Validation Accuracy = 0.886497
Testing Accuracy = 0.880455

During the 50-th epoch:
Training Accuracy = 0.900467
Validation Accuracy = 0.88454
Testing Accuracy = 0.870019

During the 100-th epoch:
Training Accuracy = 0.935386
Validation Accuracy = 0.83366
Testing Accuracy = 0.827325

During the 200-th epoch:
Training Accuracy = 0.979653
Validation Accuracy = 0.849315
Testing Accuracy = 0.85389

During the 300-th epoch:
Training Accuracy = 0.995601
Validation Accuracy = 0.812133
Testing Accuracy = 0.848197

During the 500-th epoch:
Training Accuracy = 0.998625
Validation Accuracy = 0.802348
Testing Accuracy = 0.844402

During the 700-th epoch:
Training Accuracy = 0.998625
Validation Accuracy = 0.819961
Testing Accuracy = 0.849146

During the 1000-th epoch:
Training Accuracy = 0.998625
Validation Accuracy = 0.812133
Testing Accuracy = 0.848197

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.001
training epoch = 1000, dropout rate = 0.30000000000000004, reg_param = 0.001

During the 10-th epoch:
Training Accuracy = 0.880946
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

During the 20-th epoch:
Training Accuracy = 0.881496
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

During the 50-th epoch:
Training Accuracy = 0.904317
Validation Accuracy = 0.861057
Testing Accuracy = 0.863378

During the 100-th epoch:
Training Accuracy = 0.946659
Validation Accuracy = 0.841487
Testing Accuracy = 0.836812

During the 200-th epoch:
Training Accuracy = 0.983228
Validation Accuracy = 0.81409
Testing Accuracy = 0.837761

During the 300-th epoch:
Training Accuracy = 0.990927
Validation Accuracy = 0.823875
Testing Accuracy = 0.847249

During the 500-th epoch:
Training Accuracy = 0.9989
Validation Accuracy = 0.802348
Testing Accuracy = 0.825427

During the 700-th epoch:
Training Accuracy = 0.99835
Validation Accuracy = 0.819961
Testing Accuracy = 0.841556

During the 1000-th epoch:
Training Accuracy = 0.998075
Validation Accuracy = 0.800391
Testing Accuracy = 0.826376

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.001
training epoch = 1000, dropout rate = 0.5, reg_param = 0.1

During the 10-th epoch:
Training Accuracy = 0.881496
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

During the 20-th epoch:
Training Accuracy = 0.880946
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

During the 50-th epoch:
Training Accuracy = 0.906791
Validation Accuracy = 0.876712
Testing Accuracy = 0.865275

During the 100-th epoch:
Training Accuracy = 0.925763
Validation Accuracy = 0.868885
Testing Accuracy = 0.870968

During the 200-th epoch:
Training Accuracy = 0.985427
Validation Accuracy = 0.837573
Testing Accuracy = 0.839658

During the 300-th epoch:
Training Accuracy = 0.979928
Validation Accuracy = 0.851272
Testing Accuracy = 0.862429

During the 500-th epoch:
Training Accuracy = 0.993951
Validation Accuracy = 0.851272
Testing Accuracy = 0.854839

During the 700-th epoch:
Training Accuracy = 0.998625
Validation Accuracy = 0.83953
Testing Accuracy = 0.8463

During the 1000-th epoch:
Training Accuracy = 0.998625
Validation Accuracy = 0.829746
Testing Accuracy = 0.8463

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.001
training epoch = 1000, dropout rate = 0.5, reg_param = 0.01

During the 10-th epoch:
Training Accuracy = 0.880946
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

During the 20-th epoch:
Training Accuracy = 0.881496
Validation Accuracy = 0.886497
Testing Accuracy = 0.880455

During the 50-th epoch:
Training Accuracy = 0.901292
Validation Accuracy = 0.874755
Testing Accuracy = 0.871917

During the 100-th epoch:
Training Accuracy = 0.936486
Validation Accuracy = 0.829746
Testing Accuracy = 0.822581

During the 200-th epoch:
Training Accuracy = 0.980753
Validation Accuracy = 0.845401
Testing Accuracy = 0.840607

During the 300-th epoch:
Training Accuracy = 0.992026
Validation Accuracy = 0.849315
Testing Accuracy = 0.836812

During the 500-th epoch:
Training Accuracy = 0.997525
Validation Accuracy = 0.818004
Testing Accuracy = 0.8074

During the 700-th epoch:
Training Accuracy = 0.99835
Validation Accuracy = 0.835616
Testing Accuracy = 0.827325

During the 1000-th epoch:
Training Accuracy = 0.88617
Validation Accuracy = 0.88454
Testing Accuracy = 0.875712

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.001
training epoch = 1000, dropout rate = 0.5, reg_param = 0.001

During the 10-th epoch:
Training Accuracy = 0.881221
Validation Accuracy = 0.886497
Testing Accuracy = 0.880455

During the 20-th epoch:
Training Accuracy = 0.881496
Validation Accuracy = 0.886497
Testing Accuracy = 0.880455

During the 50-th epoch:
Training Accuracy = 0.908716
Validation Accuracy = 0.874755
Testing Accuracy = 0.864326

During the 100-th epoch:
Training Accuracy = 0.948859
Validation Accuracy = 0.849315
Testing Accuracy = 0.850095

During the 200-th epoch:
Training Accuracy = 0.979928
Validation Accuracy = 0.819961
Testing Accuracy = 0.8463

During the 300-th epoch:
Training Accuracy = 0.990651
Validation Accuracy = 0.833659
Testing Accuracy = 0.833966

During the 500-th epoch:
Training Accuracy = 0.993401
Validation Accuracy = 0.829746
Testing Accuracy = 0.83871

During the 700-th epoch:
Training Accuracy = 0.99835
Validation Accuracy = 0.825832
Testing Accuracy = 0.828273

During the 1000-th epoch:
Training Accuracy = 0.998625
Validation Accuracy = 0.816047
Testing Accuracy = 0.828273

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.001
training epoch = 1000, dropout rate = 0.7, reg_param = 0.1

During the 10-th epoch:
Training Accuracy = 0.880946
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

During the 20-th epoch:
Training Accuracy = 0.881496
Validation Accuracy = 0.886497
